StaffID,StaffFirstName,StaffLastName,StaffEmail,StaffPhoneNumber,StaffAddress,StaffDOB
01,Evelyn,Rodriguez,evelyn.rodriguez@biltongbites.co.nz,027-750-5307,139 Wilson Drive Grey Lynn,10/10/1970
02,James,Hernandez,james.hernandez@biltongbites.co.nz,027-156-5046,175 Williams Drive Manukau,02/12/1997
03,James,Williams,james.williams@biltongbites.co.nz,027-254-5555,79 Anderson Court Remuera,15/10/1971
04,Charlotte,Anderson,charlotte.anderson@biltongbites.co.nz,027-285-7434,124 Smith Street Manukau,29/03/1973
05,Amelia,Smith,amelia.smith@biltongbites.co.nz,027-681-6909,102 Williams Place Te Aro,07/11/1995
06,Harper,Brown,harper.brown@biltongbites.co.nz,027-405-5466,164 Lopez Street Papatoetoe,13/04/1983
07,Liam,Thomas,liam.thomas@biltongbites.co.nz,027-736-5697,56 Lopez Street Riccarton,25/08/1973
08,Sophia,Lopez,sophia.lopez@biltongbites.co.nz,027-382-4089,220 Jackson Place Remuera,02/12/1961
09,Elijah,Martinez,elijah.martinez@biltongbites.co.nz,027-774-5600,87 Williams Drive Ponsonby,21/07/1969
10,Ava,Brown,ava.brown@biltongbites.co.nz,027-348-2522,240 Jones Street Karori,02/02/1976
11,Oliver,Jackson,oliver.jackson@biltongbites.co.nz,027-326-1809,115 Lopez Crescent Henderson,14/07/2003
12,Benjamin,Williams,benjamin.williams@biltongbites.co.nz,027-635-1769,129 Smith Street Henderson,27/05/1970
13,Alexander,Wilson,alexander.wilson@biltongbites.co.nz,027-687-5362,211 Jackson Avenue Manukau,28/04/2004
14,Liam,Jackson,liam.jackson@biltongbites.co.nz,027-745-6552,191 Jones Crescent Te Aro,25/08/1983
15,William,Gonzalez,william.gonzalez@biltongbites.co.nz,027-892-2497,132 Hernandez Place Te Aro,04/05/1961
16,William,Davis,william.davis@biltongbites.co.nz,027-784-5520,70 Martinez Place Manukau,28/01/1965
17,Harper,Brown,harper.brown@biltongbites.co.nz,027-790-8840,151 Miller Crescent Te Aro,01/12/2003
18,Elijah,Taylor,elijah.taylor@biltongbites.co.nz,027-204-4553,192 Hernandez Crescent Te Aro,29/03/1977
19,Elijah,Martinez,elijah.martinez@biltongbites.co.nz,027-302-5010,17 Thomas Avenue Albany,13/11/1985
20,Henry,Martin,henry.martin@biltongbites.co.nz,027-278-7908,247 Jones Avenue Riccarton,26/03/1966
21,Sophia,Gonzalez,sophia.gonzalez@biltongbites.co.nz,027-473-2513,167 Rodriguez Place Te Aro,09/04/1964
22,Isabella,Thomas,isabella.thomas@biltongbites.co.nz,027-865-1819,141 Martinez Street Riccarton,02/11/1972
23,Charlotte,Anderson,charlotte.anderson@biltongbites.co.nz,027-647-5475,94 Anderson Place Ponsonby,21/01/1978
24,Henry,Lopez,henry.lopez@biltongbites.co.nz,027-519-9177,79 Taylor Road Manukau,02/11/1992
25,Evelyn,Jones,evelyn.jones@biltongbites.co.nz,027-921-2588,161 Rodriguez Place Te Aro,27/05/1987
26,William,Wilson,william.wilson@biltongbites.co.nz,027-951-7244,17 Anderson Crescent Albany,09/07/1998
27,Lucas,Wilson,lucas.wilson@biltongbites.co.nz,027-652-7555,118 Anderson Court Mount Eden,05/01/1987
28,Mia,Smith,mia.smith@biltongbites.co.nz,027-525-6703,17 Hernandez Street Papatoetoe,22/03/2003
29,William,Rodriguez,william.rodriguez@biltongbites.co.nz,027-374-9846,81 Martinez Road Manukau,22/03/1987
30,Harper,Jackson,harper.jackson@biltongbites.co.nz,027-771-8576,1 Jones Crescent Te Aro,16/08/2004
31,James,Martin,james.martin@biltongbites.co.nz,027-953-8338,18 Miller Avenue Newmarket,29/03/1983
32,Amelia,Miller,amelia.miller@biltongbites.co.nz,027-676-8432,126 Rodriguez Street Grey Lynn,14/05/1992
33,Charlotte,Martinez,charlotte.martinez@biltongbites.co.nz,027-797-4657,91 Smith Crescent Mount Eden,05/01/1987
34,Noah,Hernandez,noah.hernandez@biltongbites.co.nz,027-232-4004,31 Anderson Place Remuera,11/08/1968
35,Ava,Jackson,ava.jackson@biltongbites.co.nz,027-686-4925,146 Hernandez Place Newmarket,18/12/1990
36,Evelyn,Davis,evelyn.davis@biltongbites.co.nz,027-689-7722,121 Gonzalez Crescent Newmarket,03/06/1968
37,Lucas,Miller,lucas.miller@biltongbites.co.nz,027-872-7635,106 Garcia Road Grey Lynn,13/07/1992
38,Noah,Rodriguez,noah.rodriguez@biltongbites.co.nz,027-475-5205,23 Johnson Street Te Aro,10/10/1991
39,William,Anderson,william.anderson@biltongbites.co.nz,027-774-2676,227 Williams Crescent Henderson,19/06/1987
40,William,Smith,william.smith@biltongbites.co.nz,027-555-9428,16 Anderson Avenue Mount Eden,23/08/2005
41,Mia,Taylor,mia.taylor@biltongbites.co.nz,027-104-9973,94 Taylor Drive Grey Lynn,22/06/1969
42,Mia,Thomas,mia.thomas@biltongbites.co.nz,027-942-7527,6 Anderson Avenue Manukau,06/12/1987
43,Isabella,Thomas,isabella.thomas@biltongbites.co.nz,027-221-8765,141 Garcia Road Henderson,22/08/1974
44,Ava,Lopez,ava.lopez@biltongbites.co.nz,027-776-2352,79 Thomas Avenue Riccarton,27/07/1961
45,Lucas,Gonzalez,lucas.gonzalez@biltongbites.co.nz,027-753-6336,183 Johnson Crescent Henderson,26/10/1970
46,William,Jones,william.jones@biltongbites.co.nz,027-352-5001,212 Martin Court Remuera,11/05/1964
47,Amelia,Martin,amelia.martin@biltongbites.co.nz,027-886-1215,138 Miller Place Grey Lynn,19/10/1993
48,Oliver,Lopez,oliver.lopez@biltongbites.co.nz,027-451-6994,203 Davis Court Papatoetoe,29/12/1965
49,Ava,Williams,ava.williams@biltongbites.co.nz,027-889-2096,102 Williams Place Karori,01/07/1983
50,Noah,Williams,noah.williams@biltongbites.co.nz,027-404-8164,144 Garcia Avenue Riccarton,05/01/1974
51,Isabella,Miller,isabella.miller@biltongbites.co.nz,027-997-6380,17 Smith Avenue Ponsonby,02/04/1990
52,Ava,Smith,ava.smith@biltongbites.co.nz,027-200-2668,35 Jones Place Te Aro,26/01/1989
53,William,Johnson,william.johnson@biltongbites.co.nz,027-729-4051,222 Davis Street Riccarton,09/09/2003
54,Mia,Miller,mia.miller@biltongbites.co.nz,027-741-7195,140 Williams Avenue Newmarket,07/11/2006
55,Harper,Hernandez,harper.hernandez@biltongbites.co.nz,027-464-8784,86 Hernandez Drive Mount Eden,17/02/1989
56,James,Smith,james.smith@biltongbites.co.nz,027-987-1160,171 Brown Court Riccarton,06/02/2007
57,Charlotte,Brown,charlotte.brown@biltongbites.co.nz,027-208-8276,100 Jackson Street Henderson,13/12/1974
58,Mia,Brown,mia.brown@biltongbites.co.nz,027-944-7400,100 Davis Place Henderson,25/02/1966
59,Benjamin,Martin,benjamin.martin@biltongbites.co.nz,027-942-6751,224 Jones Avenue Albany,23/04/1999
60,Benjamin,Martinez,benjamin.martinez@biltongbites.co.nz,027-327-7116,182 Williams Place Remuera,13/07/2000
61,Liam,Wilson,liam.wilson@biltongbites.co.nz,027-506-3061,23 Thomas Crescent Remuera,20/04/2001
62,Noah,Thomas,noah.thomas@biltongbites.co.nz,027-297-5746,173 Jackson Court Riccarton,31/05/1974
63,Isabella,Jackson,isabella.jackson@biltongbites.co.nz,027-853-4465,246 Moore Avenue Grey Lynn,02/09/1993
64,Noah,Brown,noah.brown@biltongbites.co.nz,027-284-4186,41 Gonzalez Drive Te Aro,11/01/1985
65,James,Garcia,james.garcia@biltongbites.co.nz,027-317-3350,163 Anderson Crescent Albany,28/09/1967
66,James,Williams,james.williams@biltongbites.co.nz,027-949-6430,193 Williams Avenue Mount Eden,07/06/1986
67,Noah,Jackson,noah.jackson@biltongbites.co.nz,027-851-6529,66 Smith Court Mount Eden,10/10/1991
68,Liam,Moore,liam.moore@biltongbites.co.nz,027-297-1172,219 Williams Drive Riccarton,21/03/1967
69,Noah,Thomas,noah.thomas@biltongbites.co.nz,027-356-8938,95 Davis Crescent Albany,01/12/1994
70,Mia,Davis,mia.davis@biltongbites.co.nz,027-754-5389,227 Thomas Avenue Mount Eden,03/01/2005
71,Oliver,Johnson,oliver.johnson@biltongbites.co.nz,027-459-7396,123 Taylor Crescent Ponsonby,16/11/1977
72,Noah,Anderson,noah.anderson@biltongbites.co.nz,027-634-3389,99 Martinez Drive Grey Lynn,22/12/1974
73,Isabella,Hernandez,isabella.hernandez@biltongbites.co.nz,027-308-3111,242 Smith Place Newmarket,12/12/2007
74,Liam,Davis,liam.davis@biltongbites.co.nz,027-857-9709,21 Garcia Street Grey Lynn,22/08/2000
75,Amelia,Wilson,amelia.wilson@biltongbites.co.nz,027-609-2140,159 Gonzalez Avenue Papatoetoe,03/04/1963
76,Elijah,Martin,elijah.martin@biltongbites.co.nz,027-348-5117,177 Brown Drive Grey Lynn,20/01/1978
77,Olivia,Anderson,olivia.anderson@biltongbites.co.nz,027-332-3625,98 Wilson Drive Grey Lynn,24/05/1991
78,Henry,Thomas,henry.thomas@biltongbites.co.nz,027-472-4518,55 Jackson Court Riccarton,10/11/1985
79,Ava,Martinez,ava.martinez@biltongbites.co.nz,027-714-6490,207 Hernandez Crescent Grey Lynn,15/07/1965
80,Charlotte,Williams,charlotte.williams@biltongbites.co.nz,027-131-6316,85 Jackson Road Mount Eden,28/04/1996
81,Liam,Thomas,liam.thomas@biltongbites.co.nz,027-904-9559,35 Brown Avenue Henderson,16/02/1980
82,Lucas,Garcia,lucas.garcia@biltongbites.co.nz,027-808-9371,80 Johnson Place Albany,29/11/1978
83,James,Brown,james.brown@biltongbites.co.nz,027-890-8912,194 Williams Crescent Albany,08/12/2001
84,Olivia,Moore,olivia.moore@biltongbites.co.nz,027-130-3484,148 Hernandez Road Te Aro,11/03/1962
85,Evelyn,Hernandez,evelyn.hernandez@biltongbites.co.nz,027-416-5656,154 Smith Court Albany,08/03/1982
86,Liam,Thomas,liam.thomas@biltongbites.co.nz,027-173-4613,188 Martin Avenue Mount Eden,13/06/1983
87,Benjamin,Davis,benjamin.davis@biltongbites.co.nz,027-855-2040,237 Miller Court Ponsonby,04/09/1976
88,Benjamin,Johnson,benjamin.johnson@biltongbites.co.nz,027-388-7207,192 Davis Avenue Albany,06/03/1994
